종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"263600","덕우전자 ","7350","-60","-0.81","640","11.48",,,"6065","1.21","140","1.90"
"194480","데브시스터즈 ","54600","-300","-0.55",,,"5620","9.72","9149","5.97","0","0.00"
"263800","데이타솔루션 ","5290","-40","-0.75","32","165.31",,,"1666","3.18","0","0.00"
"206560","덱스터 ","20150","-250","-1.23",,,"281","71.58","2258","8.92","0","0.00"
"261200","덴티스 ","9260","-10","-0.11",,,"627","14.77","1819","5.09","0","0.00"
"145720","덴티움 ","73900","2000","2.78","2614","28.27","6645","11.12","20715","3.57","200","0.27"
"067990","도이치모터스 ","8780","210","2.45","524","16.76",,,"9594","0.92","250","2.85"
"002150","도화엔지니어링 ","7560","-60","-0.79","535","14.13",,,"7617","0.99","280","3.70"
"006620","동구바이오제약 ","7280","-40","-0.55","328","22.20",,,"3335","2.18","100","1.37"
"100130","동국S&C ","5960","-180","-2.93","63","94.60","437","13.62","4553","1.31","100","1.68"
"005160","동국산업 ","3495","85","2.49","127","27.52",,,"7079","0.49","130","3.72"
"075970","동국알앤에스 ","4320","120","2.86","173","24.97",,,"4148","1.04","80","1.85"
"001230","동국제강 ","17150","-350","-2.00","700","24.50","3709","4.62","21305","0.80","200","1.17"
"086450","동국제약 ","20350","-50","-0.25","1273","15.99","1446","14.07","9095","2.24","180","0.88"
"023450","동남합성 ","61800","-100","-0.16","2763","22.37",,,"13579","4.55","9900","16.02"
"004140","동방 ","3530","-40","-1.12","363","9.72",,,"2763","1.28","0","0.00"
"099410","동방선기 ","3830","-180","-4.49",,,,,"2049","1.87","0","0.00"
"007590","동방아그로 ","7740","310","4.17","569","13.60",,,"10372","0.75","370","4.78"
"005960","동부건설 ","13500","-100","-0.74","1974","6.84","2968","4.55","20042","0.67","900","6.67"
"005965","동부건설우 ","30200","-1000","-3.21",,,,,,,"950","3.15"
"026960","동서 ","26000","-350","-1.33","1186","21.92",,,"13861","1.88","700","2.69"
"002210","동성제약 ","8070","-60","-0.74",,,,,"2105","3.83","0","0.00"
"102260","동성케미컬 ","4715","-75","-1.57","152","31.02",,,"6288","0.75","250","5.30"
"033500","동성화인텍 ","11200","-200","-1.75","808","13.86","811","13.80","3993","2.80","350","3.13"
"025950","동신건설 ","21300","-1500","-6.58",,,,,"10157","2.10","150","0.70"
"000640","동아쏘시오홀딩스 ","103500","-1500","-1.43","26725","3.87","10809","9.58","144380","0.72","1000","0.97"
"170900","동아에스티 ","67700","400","0.59","3212","21.08","3417","19.81","76043","0.89","1000","1.48"
"088130","동아엘텍 ","9210","-50","-0.54","943","9.77",,,"15934","0.58","150","1.63"
"028100","동아지질 ","17150","-300","-1.72","181","94.75",,,"16656","1.03","75","0.44"
"282690","동아타이어 ","11900","0","0.00","971","12.26",,,"26714","0.45","800","6.72"
"041930","동아화성 ","10150","0","0.00","170","59.71",,,"6721","1.51","120","1.18"
"001520","동양 ","1440","-10","-0.69",,,,,"3285","0.44","40","2.78"
"001527","동양2우B ","15100","0","0.00",,,,,,,"150","0.99"
"001529","동양3우B ","36650","-300","-0.81",,,,,,,"150","0.41"
"084670","동양고속 ","18950","100","0.53",,,,,"36836","0.51","500","2.64"
"082640","동양생명 ","6060","-60","-0.98","825","7.35","1074","5.64","19165","0.32","220","3.63"
"060380","동양에스텍 ","3560","-70","-1.93","276","12.90",,,"2828","1.26","100","2.81"
"001525","동양우 ","7740","-120","-1.53",,,,,,,"90","1.16"
"079960","동양이엔피 ","17500","-200","-1.13","3084","5.67",,,"30463","0.57","400","2.29"
"008970","동양철관 ","1175","-15","-1.26","59","19.92",,,"736","1.60","0","0.00"
"228340","동양파일 ","4945","-105","-2.08",,,,,"5782","0.86","0","0.00"
"092780","동양피스톤 ","5760","-60","-1.03",,,,,"7084","0.81","60","1.04"
"088910","동우팜투테이블 ","3205","-75","-2.29",,,,,"7263","0.44","0","0.00"
"094170","동운아나텍 ","7140","-120","-1.65","51","140.00","495","14.43","1740","4.10","20","0.28"
"049770","동원F&B ","168000","-2000","-1.18","20194","8.32","25869","6.49","193553","0.87","3500","2.08"
"013120","동원개발 ","4950","-90","-1.79","1590","3.11",,,"9919","0.50","185","3.74"
"018500","동원금속 ","879","-2","-0.23",,,,,"684","1.29","0","0.00"
"006040","동원산업 ","212000","3500","1.68","70124","3.02",,,"340108","0.62","5000","2.36"
"030720","동원수산 ","9640","-410","-4.08",,,,,"10314","0.93","0","0.00"
"014820","동원시스템즈 ","57600","600","1.05","2003","28.76","3104","18.56","18717","3.08","600","1.04"
"014825","동원시스템즈우 ","33500","400","1.21",,,,,,,"650","1.94"
"163560","동일고무벨트 ","6780","-20","-0.29","524","12.94",,,"14392","0.47","100","1.47"
"109860","동일금속 ","16800","-250","-1.47","796","21.11",,,"14150","1.19","300","1.79"
"032960","동일기연 ","12050","-250","-2.03","236","51.06",,,"14574","0.83","45","0.37"
"004890","동일산업 ","178500","-500","-0.28","3700","48.24",,,"148639","1.20","1800","1.01"
"002690","동일제강 ","3005","-60","-1.96","18","166.94",,,"7926","0.38","0","0.00"
"023790","동일철강 ","3810","-65","-1.68",,,,,"3934","0.97","0","0.00"
"005290","동진쎄미켐 ","33700","-250","-0.74","1658","20.33",,,"8437","3.99","100","0.30"
"025900","동화기업 ","69400","200","0.29","1306","53.14",,,"27492","2.52","0","0.00"
"000020","동화약품 ","12900","0","0.00","1033","12.49",,,"11860","1.09","180","1.40"
"000150","두산 ","115500","-4500","-3.75",,,,,"77507","1.49","2000","1.73"
"000157","두산2우B ","121000","-3000","-2.42",,,,,,,"2000","1.65"
"241560","두산밥캣 ","37450","-600","-1.58","2466","15.19","4302","8.70","40637","0.92","0","0.00"
"000155","두산우 ","81600","-1300","-1.57",,,,,,,"2050","2.51"
"034020","두산중공업 ","20700","-550","-2.59",,,"396","52.33","8215","2.52","0","0.00"
"336260","두산퓨얼셀 ","40900","1200","3.02","203","201.48","504","81.16","6262","6.53","0","0.00"
"33626K","두산퓨얼셀1우 ","12350","250","2.07",,,,,,,"0","0.00"
"33626L","두산퓨얼셀2우B ","16050","400","2.56",,,,,,,"0","0.00"
"016740","두올 ","3495","-35","-0.99","163","21.44",,,"5419","0.64","80","2.29"
"073190","듀오백 ","2565","-40","-1.54","66","38.86",,,"2342","1.10","0","0.00"
"030350","드래곤플라이 ","1970","-5","-0.25",,,,,"319","6.18","0","0.00"
"203650","드림시큐리티 ","4015","-20","-0.50","99","40.56",,,"1356","2.96","0","0.00"
"223250","드림씨아이에스 ","11050","-50","-0.45","978","11.30",,,"6551","1.69","0","0.00"
"060570","드림어스컴퍼니 ","4280","0","0.00",,,,,"1685","2.54","0","0.00"
"192650","드림텍 ","10350","-100","-0.96","346","29.91",,,"4045","2.56","100","0.97"
"217620","디딤 ","1230","20","1.65",,,,,"141","8.72","0","0.00"
"187870","디바이스이엔지 ","22650","-250","-1.09","4399","5.15",,,"14043","1.61","600","2.65"
"066670","디스플레이텍 ","6670","0","0.00","228","29.25",,,"8103","0.82","80","1.20"
"024090","디씨엠 ","22400","-400","-1.75","2166","10.34",,,"16153","1.39","500","2.23"
"003160","디아이 ","7460","-110","-1.45","203","36.75",,,"4122","1.81","100","1.34"
"092200","디아이씨 ","5090","-40","-0.78",,,,,"917","5.55","0","0.00"
"110990","디아이티 ","8780","-110","-1.24","81","108.40",,,"8970","0.98","0","0.00"
"078590","디아크 ","2380","0","0.00",,,,,"878","2.71","0","0.00"
"263690","디알젬 ","9310","-60","-0.64","1786","5.21",,,"4638","2.01","200","2.15"
"214680","디알텍 ","1495","-10","-0.66",,,,,"639","2.34","0","0.00"
"263720","디앤씨미디어 ","28450","-600","-2.07","890","31.97",,,"4239","6.71","0","0.00"
"376300","디어유 ","46300","100","0.22",,,"1143","40.50",,,"0","0.00"
"109740","디에스케이 ","7550","-50","-0.66",,,,,"4728","1.60","0","0.00"
"131030","디에이치피코리아 ","7340","-30","-0.41","893","8.22",,,"7177","1.02","100","1.36"
"196490","디에이테크놀로지 ","5920","-60","-1.00",,,,,"4264","1.39","0","0.00"
"066900","디에이피 ","4010","-50","-1.23","282","14.22",,,"4604","0.87","0","0.00"
"180400","디엑스앤브이엑스 ","7740","0","0.00",,,,,"1114","6.95","0","0.00"
"127120","디엔에이링크 ","3165","-35","-1.09",,,,,"2361","1.34","0","0.00"
"092070","디엔에프 ","17500","-300","-1.69","1435","12.20",,,"10501","1.67","200","1.14"
"039840","디오 ","36600","700","1.95","759","48.22","2536","14.43","10330","3.54","0","0.00"
"013570","디와이 ","7920","30","0.38",,,,,"12760","0.62","100","1.26"
"219550","디와이디 ","2325","-70","-2.92",,,,,"1327","1.75","0","0.00"
"310870","디와이씨 ","1920","20","1.05",,,,,,,"0","0.00"
"210540","디와이파워 ","14050","-250","-1.75","2303","6.10",,,"17122","0.82","220","1.57"
"104460","디와이피엔에프 ","36200","-650","-1.76","2716","13.33",,,"8513","4.25","420","1.16"
"079810","디이엔티 ","6690","180","2.76",,,,,"1675","3.99","0","0.00"
"113810","디젠스 ","783","-8","-1.01",,,,,"398","1.97","0","0.00"
"043360","디지아이 ","3225","-75","-2.27","77","41.88",,,"5143","0.63","0","0.00"
"197140","디지캡 ","3905","-40","-1.01","156","25.03",,,"4425","0.88","30","0.77"
"068930","디지털대성 ","8170","-170","-2.04","445","18.36","1018","8.03","3790","2.16","300","3.67"
"033130","디지틀조선 ","2910","10","0.34","49","59.39",,,"2118","1.37","20","0.69"
"105740","디케이락 ","11150","0","0.00",,,"1423","7.84","10814","1.03","150","1.35"
"263020","디케이앤디 ","4260","160","3.90","234","18.21",,,"3442","1.24","0","0.00"
"290550","디케이티 ","14200","-250","-1.73","658","21.58","943","15.06","4088","3.47","0","0.00"
"007340","디티알오토모티브 ","69300","-2500","-3.48","5317","13.03",,,"62666","1.11","2000","2.89"
"187220","디티앤씨 ","7180","-100","-1.37",,,,,"7124","1.01","0","0.00"
"131180","딜리 ","2040","-50","-2.39",,,,,"1884","1.08","40","1.96"
"315640","딥노이드 ","12650","200","1.61",,,,,,,"0","0.00"
"317120","라닉스 ","7900","30","0.38",,,,,"1790","4.41","0","0.00"
"042510","라온시큐어 ","3500","-5","-0.14",,,,,"836","4.19","0","0.00"
"232680","라온테크 ","36050","-650","-1.77","195","184.87","1813","19.88","1029","35.03","0","0.00"
"300120","라온피플 ","13250","-100","-0.75",,,,,"5470","2.42","100","0.75"
"171120","라이온켐텍 ","7910","-40","-0.50","427","18.52",,,"5894","1.34","200","2.53"
"069540","라이트론 ","4005","-5","-0.12",,,,,"2235","1.79","0","0.00"
"347700","라이프시맨틱스 ","8200","-50","-0.61",,,,,"250","32.80","0","0.00"
"214260","라파스 ","30950","200","0.65",,,,,"5248","5.90","0","0.00"
"115390","락앤락 ","10050","0","0.00","219","45.89",,,"12548","0.80","0","0.00"
"200350","래몽래인 ","22150","600","2.78","714","31.02",,,"4753","4.66","0","0.00"
"171010","램테크놀러지 ","6890","-40","-0.58","187","36.84",,,"2935","2.35","0","0.00"
"084650","랩지노믹스 ","22900","50","0.22","3896","5.88",,,"7122","3.22","0","0.00"
"217500","러셀 ","4125","10","0.24","66","62.50",,,"1307","3.16","25","0.61"
"141080","레고켐바이오 ","45400","2450","5.70",,,"950","47.81","4651","9.76","0","0.00"
"060300","레드로버 ","1830","0","0.00","58","31.55",,,"817","2.24","0","0.00"
"038390","레드캡투어 ","22700","-200","-0.87","1369","16.58",,,"19629","1.16","600","2.64"
"294140","레몬 ","5080","-20","-0.39","368","13.80",,,"1744","2.91","0","0.00"
"228670","레이 ","23450","-400","-1.68","594","39.48","1433","16.36","4907","4.78","0","0.00"
"228850","레이언스 ","11550","0","0.00",,,"1192","9.69","11342","1.02","100","0.87"
"281740","레이크머티리얼즈 ","4650","10","0.22","31","150.00","418","11.12","614","7.57","0","0.00"
"277810","레인보우로보틱스 ","22200","50","0.23",,,,,"502","44.22","0","0.00"
"215100","로보로보 ","10150","250","2.53",,,,,"1278","7.94","0","0.00"
"090360","로보스타 ","22850","0","0.00",,,,,"8601","2.66","0","0.00"
"108490","로보티즈 ","25650","150","0.59",,,,,"5629","4.56","0","0.00"
"067730","로지시스 ","7380","440","6.34","50","147.60",,,"1752","4.21","100","1.36"
"071280","로체시스템즈 ","5270","-10","-0.19","562","9.38",,,"4799","1.10","0","0.00"
"032350","롯데관광개발 ","17350","-150","-0.86",,,"394","44.02","3313","5.24","0","0.00"
"089860","롯데렌탈 ","39250","850","2.21","1562","25.13","3711","10.58","23931","1.64","300","0.76"
"000400","롯데손해보험 ","1655","-5","-0.30",,,,,"3050","0.54","0","0.00"
"023530","롯데쇼핑 ","84500","-400","-0.47",,,"3467","24.37","346484","0.24","2800","3.31"
"004000","롯데정밀화학 ","75000","-900","-1.19","7805","9.61","12727","5.89","63942","1.17","1500","2.00"
"286940","롯데정보통신 ","35100","-100","-0.28","1975","17.77","3248","10.81","26847","1.31","700","1.99"
"280360","롯데제과 ","111500","-1500","-1.33","6392","17.44","9495","11.74","185045","0.60","1600","1.43"
"004990","롯데지주 ","29100","0","0.00",,,"3348","8.69","60599","0.48","1000","3.44"
"00499K","롯데지주우 ","48350","200","0.42",,,,,,,"1050","2.17"
"005300","롯데칠성 ","149000","-2500","-1.65",,,"11958","12.46","132776","1.12","2700","1.81"
"005305","롯데칠성우 ","70800","-1400","-1.94",,,,,,,"2705","3.82"
"011170","롯데케미칼 ","193500","1000","0.52","4623","41.86","25854","7.48","374803","0.52","3600","1.86"
"002270","롯데푸드 ","311500","-2500","-0.80","77191","4.04","31430","9.91","672512","0.46","12000","3.85"
"071840","롯데하이마트 ","23450","-300","-1.26","1217","19.27","2590","9.06","81582","0.29","1200","5.12"
"038060","루멘스 ","1210","25","2.11",,,,,"1993","0.61","0","0.00"
"085370","루트로닉 ","23400","-250","-1.06",,,"1509","15.51","3695","6.33","0","0.00"
"08537M","루트로닉3우C ","33300","0","0.00",,,,,,,"0","0.00"
"060240","룽투코리아 ","6590","140","2.17","113","58.32",,,"3021","2.18","0","0.00"
"058470","리노공업 ","182200","2400","1.33","3648","49.95","7611","23.94","22132","8.23","1500","0.82"
"039980","리노스 ","1050","-25","-2.33",,,,,"1524","0.69","0","0.00"
"019570","리더스 기술투자 ","464","-5","-1.07","110","4.22",,,"416","1.12","0","0.00"
"016100","리더스코스메틱 ","2295","-20","-0.86","1313","1.75",,,"3725","0.62","0","0.00"
"012700","리드코프 ","8520","-70","-0.81","1780","4.79",,,"15516","0.55","800","9.39"
"302550","리메드 ","20500","-50","-0.24",,,,,"4071","5.04","0","0.00"
"377450","리파인 ","12900","-50","-0.39","1236","10.44",,,"2772","4.65","0","0.00"
"277070","린드먼아시아 ","5160","-70","-1.34","377","13.69",,,"3618","1.43","38","0.74"
"042500","링네트 ","5770","-80","-1.37","598","9.65",,,"4476","1.29","0","0.00"
"219420","링크제니시스 ","7410","-10","-0.13","55","134.73",,,"2973","2.49","0","0.00"
"027740","마니커 ","1260","-30","-2.33",,,,,"1572","0.80","0","0.00"
"195500","마니커에프앤지 ","4265","-55","-1.27","276","15.45","240","17.76","3410","1.25","0","0.00"
"222810","마이더스AI ","1325","-85","-6.03",,,,,"1600","0.83","0","0.00"
"305090","마이크로디지탈 ","12800","-200","-1.54",,,,,"1052","12.17","0","0.00"
"098120","마이크로컨텍솔 ","10450","-100","-0.95","135","77.41",,,"4134","2.53","25","0.24"
"147760","마이크로프랜드 ","6640","-60","-0.90","595","11.16",,,"4417","1.50","0","0.00"
"377480","마인즈랩 ","19000","-100","-0.52",,,,,,,"0","0.00"
"038290","마크로젠 ","25650","150","0.59","9002","2.85",,,"18637","1.38","300","1.17"
"204320","만도 ","44900","-100","-0.22","124","362.10","4673","9.61","34872","1.29","0","0.00"
"001080","만호제강 ","22900","-200","-0.87","290","78.97",,,"56160","0.41","200","0.87"
"220630","맘스터치 ","6710","10","0.15","244","27.50",,,"776","8.65","30","0.45"
"267980","매일유업 ","66800","-1000","-1.47","7498","8.91","9900","6.75","56113","1.19","800","1.20"
"005990","매일홀딩스 ","9530","-100","-1.04","154","61.88",,,"20924","0.46","140","1.47"
"127160","매직마이크로 ","282","0","0.00",,,,,"213","1.32","0","0.00"
"093520","매커스 ","7960","-80","-1.00","650","12.25",,,"3497","2.28","100","1.26"
"377030","맥스트 ","45750","450","0.99",,,,,"584","78.34","0","0.00"
"100590","머큐리 ","7560","-30","-0.40","556","13.60",,,"5431","1.39","0","0.00"
"067280","멀티캠퍼스 ","41850","-300","-0.71","1690","24.76",,,"19873","2.11","500","1.19"
"072870","메가스터디 ","12150","-100","-0.82","1786","6.80",,,"23739","0.51","600","4.94"
"215200","메가스터디교육 ","85300","700","0.83","1831","46.59","10475","8.14","22462","3.80","750","0.88"
"133750","메가엠디 ","3620","-40","-1.09","224","16.16",,,"2645","1.37","100","2.76"
"235980","메드팩토 ","34800","600","1.75",,,,,"2740","12.70","0","0.00"
"041920","메디아나 ","6340","-100","-1.55","710","8.93",,,"4274","1.48","50","0.79"
"014100","메디앙스 ","6200","0","0.00","365","16.99",,,"7400","0.84","0","0.00"
"054180","메디콕스 ","819","-10","-1.21",,,,,"788","1.04","0","0.00"
"086900","메디톡스 ","123100","300","0.24",,,,,"36067","3.41","1000","0.81"
"078160","메디포스트 ","19700","-50","-0.25",,,,,"7462","2.64","0","0.00"
"065650","메디프론 ","2095","-40","-1.87",,,,,"749","2.80","0","0.00"
"138040","메리츠금융지주 ","31700","-1100","-3.35","3596","8.82","4844","6.54","24992","1.27","900","2.84"
"008560","메리츠증권 ","5700","-100","-1.72","865","6.59","933","6.11","6178","0.92","320","5.61"
"000060","메리츠화재 ","35150","-1850","-5.00","3856","9.12","5123","6.86","22175","1.59","1280","3.64"
"021880","메이슨캐피탈 ","487","-7","-1.42","21","23.19",,,"331","1.47","0","0.00"
"140410","메지온 ","164500","2900","1.79",,,,,"6388","25.75","0","0.00"
"241770","메카로 ","12200","-200","-1.61",,,,,"13654","0.89","0","0.00"
"090370","메타랩스 ","878","-12","-1.35",,,,,"832","1.06","0","0.00"
"059210","메타바이오메드 ","2615","-10","-0.38",,,,,"2011","1.30","10","0.38"
"058110","멕아이씨에스 ","8330","0","0.00","1858","4.48",,,"2674","3.12","144","1.73"
"096640","멜파스 ","1000","-5","-0.50",,,,,"983","1.02","0","0.00"
"017180","명문제약 ","3930","-25","-0.63",,,,,"2568","1.53","0","0.00"
"257370","명성티엔에스 ","9210","0","0.00",,,,,"4280","2.15","0","0.00"
"009900","명신산업 ","23250","-250","-1.06",,,,,"4177","5.57","0","0.00"
"012690","모나리자 ","3385","-25","-0.73","217","15.60",,,"1947","1.74","75","2.22"
"005360","모나미 ","3985","-15","-0.38","4","996.25",,,"4630","0.86","70","1.76"
"080420","모다이노칩 ","4040","-70","-1.70","133","30.38",,,"4371","0.92","0","0.00"
"080160","모두투어 ","23350","-400","-1.68",,,"244","95.59","2777","8.41","0","0.00"
"100030","모바일리더 ","20750","50","0.24","1848","11.23",,,"10978","1.89","0","0.00"
"087260","모바일어플라이언스 ","3710","15","0.41","84","44.17",,,"1270","2.92","0","0.00"
"101330","모베이스 ","3480","-45","-1.28",,,,,"10629","0.33","0","0.00"
"012860","모베이스전자 ","1975","-20","-1.00",,,,,"2652","0.74","0","0.00"
"348030","모비릭스 ","16900","-100","-0.59","1098","15.39",,,"4719","3.58","0","0.00"
"250060","모비스 ","2175","25","1.16",,,,,"747","2.91","0","0.00"
"033200","모아텍 ","7050","-100","-1.40",,,,,"5047","1.40","0","0.00"
"009680","모토닉 ","8830","-10","-0.11","679","13.00",,,"12565","0.70","400","4.53"
"118990","모트렉스 ","5750","20","0.35",,,,,"2876","2.00","0","0.00"
"006920","모헨즈 ","4715","-65","-1.36","5","943.00",,,"2125","2.22","0","0.00"
"009580","무림P&P ","4360","5","0.11",,,,,"9520","0.46","125","2.87"
"001810","무림SP ","3050","-45","-1.45","79","38.61",,,"9248","0.33","25","0.82"
"009200","무림페이퍼 ","2515","-55","-2.14",,,,,"9572","0.26","50","1.99"
"033920","무학 ","10100","-150","-1.46","485","20.82",,,"18412","0.55","0","0.00"
"008420","문배철강 ","4420","-150","-3.28","440","10.05",,,"5808","0.76","50","1.13"
"279600","미디어젠 ","12450","-200","-1.58",,,,,"3745","3.32","0","0.00"
"095500","미래나노텍 ","6890","-70","-1.01","1076","6.40",,,"7112","0.97","0","0.00"
"025560","미래산업 ","13000","150","1.17",,,,,"17191","0.76","0","0.00"
"218150","미래생명자원 ","8520","-1080","-11.25","54","157.78",,,"1631","5.22","0","0.00"
"007120","미래아이앤지 ","398","-3","-0.75","153","2.60",,,"691","0.58","0","0.00"
"353490","미래에셋대우스팩 5호 ","2125","-5","-0.23",,,,,,,"0","0.00"
"328380","미래에셋대우스팩3호 ","2050","0","0.00",,,,,,,"0","0.00"
"100790","미래에셋벤처투자 ","9550","-450","-4.50","663","14.40",,,"3742","2.55","155","1.62"
"085620","미래에셋생명 ","3905","-55","-1.39","482","8.10","433","9.03","11532","0.34","100","2.56"
"006800","미래에셋증권 ","8330","-80","-0.95","1213","6.87","1216","6.85","11595","0.72","200","2.40"
"00680K","미래에셋증권2우B ","4390","-40","-0.90",,,,,,,"200","4.56"
"006805","미래에셋증권우 ","5250","-60","-1.13",,,,,,,"220","4.19"
"049950","미래컴퍼니 ","24200","300","1.26",,,,,"11276","2.15","0","0.00"
"207760","미스터블루 ","8100","-20","-0.25","507","15.98","560","14.46","2157","3.76","35","0.43"
"002840","미원상사 ","181500","2500","1.40","10369","17.50",,,"53838","3.37","700","0.39"
"268280","미원에스씨 ","194500","500","0.26","6769","28.73",,,"51194","3.80","1700","0.87"
"107590","미원홀딩스 ","136000","-1000","-0.73","7557","18.00",,,"70128","1.94","500","0.37"
"134380","미원화학 ","70500","-700","-0.98","6806","10.36",,,"51337","1.37","2500","3.55"
"003650","미창석유 ","79900","-1400","-1.72","12962","6.16",,,"159298","0.50","2100","2.63"
"059090","미코 ","11650","-150","-1.27","379","30.74",,,"3587","3.25","0","0.00"
"214610","미코바이오메드 ","7190","-50","-0.69",,,,,"3083","2.33","0","0.00"
"201490","미투온 ","5520","20","0.36","333","16.58",,,"3027","1.82","65","1.18"
"214180","민앤지 ","17550","-50","-0.28","1626","10.79","2168","8.10","9826","1.79","340","1.94"
"206640","바디텍메드 ","15700","50","0.32","1978","7.94",,,"5103","3.08","200","1.27"
"018700","바른손 ","3835","15","0.39",,,,,"1397","2.75","0","0.00"
"035620","바른손이앤에이 ","1330","-5","-0.37",,,,,"1049","1.27","0","0.00"
"064520","바른전자 ","944","0","0.00",,,,,"411","2.30","0","0.00"
"053030","바이넥스 ","15350","-100","-0.65","206","74.51","581","26.41","5455","2.81","0","0.00"
"301300","바이브컴퍼니 ","41200","1300","3.26",,,,,"5894","6.99","0","0.00"
"064550","바이오니아 ","42550","5750","15.63","2509","16.96",,,"5775","7.37","0","0.00"
"314930","바이오다인 ","27700","-350","-1.25",,,,,"1363","20.32","0","0.00"
"208710","바이오로그디바이스 ","2010","10","0.50",,,,,"1304","1.54","0","0.00"
"142760","바이오리더스 ","8270","100","1.22",,,,,"1116","7.41","0","0.00"
"086820","바이오솔루션 ","17850","150","0.85",,,,,"5767","3.10","0","0.00"
"038460","바이오스마트 ","5230","10","0.19",,,,,"4818","1.09","0","0.00"
"251120","바이오에프디엔씨 ","19700","50","0.25","334","58.98",,,"1680","11.73","0","0.00"
"086040","바이오톡스텍 ","8090","-130","-1.58","179","45.20",,,"2292","3.53","0","0.00"
"099430","바이오플러스 ","25650","150","0.59","389","65.94",,,"2285","11.23","0","0.00"
"032980","바이온 ","819","127","18.35",,,,,"617","1.33","0","0.00"
"222160","바이옵트로 ","8190","-100","-1.21","396","20.68","767","10.68","864","9.48","0","0.00"
"308080","바이젠셀 ","24850","50","0.20",,,,,,,"0","0.00"
"043150","바텍 ","38100","-200","-0.52",,,"4750","8.02","14979","2.54","100","0.26"
"323990","박셀바이오 ","45200","-1600","-3.42",,,,,"2304","19.62","0","0.00"
"003610","방림 ","3660","300","8.93","128","28.59",,,"4519","0.81","35","0.96"
"267790","배럴 ","9240","-40","-0.43",,,,,"5086","1.82","0","0.00"
"001340","백광산업 ","4295","-60","-1.38","232","18.51",,,"3946","1.09","50","1.16"
"046310","백금T&A ","3585","-55","-1.51",,,,,"2266","1.58","0","0.00"
"035150","백산 ","10050","-150","-1.47",,,,,"5010","2.01","100","1.00"
"066410","버킷스튜디오 ","3555","-85","-2.34",,,,,"1408","2.52","0","0.00"
"002410","범양건영 ","3550","-260","-6.82","442","8.03",,,"3269","1.09","0","0.00"
"206400","베노홀딩스 ","4345","-25","-0.57",,,,,"2269","1.91","0","0.00"
"019010","베뉴지 ","2105","0","0.00","216","9.75",,,"5453","0.39","30","1.43"
"177350","베셀 ","4375","-70","-1.57",,,,,"1654","2.65","0","0.00"
"299910","베스파 ","3165","0","0.00",,,,,"4051","0.78","0","0.00"
"007210","벽산 ","3490","35","1.01",,,,,"3361","1.04","7","0.20"
"225530","보광산업 ","7370","20","0.27","237","31.10",,,"2133","3.46","100","1.36"
"250000","보라티알 ","12000","0","0.00","233","51.50",,,"8138","1.47","150","1.25"
"002760","보락 ","1905","-15","-0.78","7","272.14",,,"735","2.59","4","0.21"
"003850","보령제약 ","12550","0","0.00","455","27.58","637","19.72","5367","2.34","100","0.80"
"006910","보성파워텍 ","5240","-30","-0.57","36","145.56",,,"1773","2.96","0","0.00"
"000890","보해양조 ","885","-10","-1.12","14","63.21",,,"617","1.43","0","0.00"
"226340","본느 ","2300","-30","-1.29",,,,,"1059","2.17","0","0.00"
"003000","부광약품 ","12050","200","1.69",,,,,"3643","3.31","100","0.83"
"001270","부국증권 ","23350","100","0.43","6784","3.44",,,"41949","0.56","1200","5.14"
"001275","부국증권우 ","21900","750","3.55",,,,,,,"1250","5.71"
"026940","부국철강 ","4350","0","0.00","40","108.75",,,"5663","0.77","75","1.72"
"014470","부방 ","2120","-35","-1.62",,,,,"2947","0.72","0","0.00"
"011390","부산산업 ","87600","-800","-0.90","2333","37.55",,,"54994","1.59","250","0.29"
"005030","부산주공 ","486","-2","-0.41",,,,,"469","1.04","0","0.00"
"008470","부스타 ","5550","-30","-0.54","662","8.38",,,"9159","0.61","120","2.16"
"338220","뷰노 ","9620","-90","-0.93",,,,,,,"0","0.00"
"100120","뷰웍스 ","38950","-550","-1.39","2395","16.26","3347","11.64","17022","2.29","450","1.16"
"337930","브랜드엑스코퍼레이션 ","8030","-140","-1.71","278","28.88",,,"2202","3.65","110","1.37"
"099390","브레인즈컴퍼니 ","23750","-100","-0.42","1116","21.28",,,"6854","3.47","0","0.00"
"064480","브리지텍 ","5630","-50","-0.88","74","76.08",,,"2813","2.00","100","1.78"
"288330","브릿지바이오테라퓨틱스 ","12500","350","2.88",,,,,"3088","4.05","0","0.00"
"365900","브이씨 ","12650","-100","-0.78",,,,,,,"0","0.00"
"251630","브이원텍 ","9730","-10","-0.10","379","25.67","656","14.83","5627","1.73","100","1.03"
"018290","브이티지엠피 ","6680","-110","-1.62","34","196.47",,,"2067","3.23","0","0.00"
"044480","블루베리 NFT ","3745","-15","-0.40",,,,,"2288","1.64","0","0.00"
"033560","블루콤 ","11500","-200","-1.71",,,,,"9149","1.26","0","0.00"
"369370","블리츠웨이 ","5880","10","0.17",,,,,,,"0","0.00"
"126340","비나텍 ","37400","50","0.13","912","41.01","1660","22.54","8058","4.64","0","0.00"
"121800","비덴트 ","16400","250","1.55","592","27.70",,,"7345","2.23","0","0.00"
"148140","비디아이 ","770","-53","-6.44",,,,,"364","2.12","0","0.00"
"082800","비보존 헬스케어 ","987","-10","-1.00",,,,,"766","1.29","0","0.00"
